Creditability,Acc_Bal_bin,Pay_Status_bin,Value_SavStock_bin,Length_Emp_bin,S&M_Status_bin,No_of_Credits_bin,Co_Credits_bin,Purpose_bin,Telephone_bin,Instalment_bin,Apartment_bin,Most_Val_Asset_bin,Duration_Credit,Credit_Amount,Age_bin
1,c. some balance,c. no problem,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",a. No,c. [25-35),b. rented flat,b. Savings / Car / Other,24,4151,b. >= 25 yr
1,b. no balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",a. 1,b. None,"b. new car, home related",a. No,b. [20-25),b. rented flat,c. No assets,15,2631,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,d. >= 35,b. rented flat,b. Savings / Car / Other,21,5248,b. >= 25 yr
1,b. no balance,c. no problem,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,18,2899,b. >= 25 yr
1,b. no balance,c. no problem,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",b. Yes,c. [25-35),b. rented flat,c. No assets,18,6204,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,12,804,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,36,3595,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,36,5711,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",b. Yes,c. [25-35),a. owner-occ / free,b. Savings / Car / Other,15,2687,b. >= 25 yr
1,a. no account,c. no problem,"a. none, < 100 DM",c. above 4 years,"a. M div, M single",b. > 1,b. None,"a. used car, others",a. No,d. >= 35,b. rented flat,b. Savings / Car / Other,15,3643,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM","a. Unemp, < 1 yr","a. M div, M single",b. > 1,b. None,"a. used car, others",a. No,d. >= 35,a. owner-occ / free,c. No assets,10,2146,a < 25 yr
1,a. no account,b. paid up,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,b. [20-25),b. rented flat,c. No assets,10,2315,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,d. >= 35,b. rented flat,c. No assets,5,3448,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","b. M mar, M wid, F",b. > 1,a. Other Banks or Dept Stores,"a. used car, others",a. No,c. [25-35),b. rented flat,b. Savings / Car / Other,15,2708,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM","a. Unemp, < 1 yr","a. M div, M single",b. > 1,b. None,"a. used car, others",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,11,1393,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","a. M div, M single",a. 1,b. None,"a. used car, others",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,10,1275,a < 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,d. >= 35,b. rented flat,b. Savings / Car / Other,9,1313,a < 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","a. M div, M single",a. 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,12,1493,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,b. [20-25),b. rented flat,b. Savings / Car / Other,22,2675,b. >= 25 yr
1,b. no balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,c. [25-35),b. rented flat,c. No assets,9,2118,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,36,909,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM","a. Unemp, < 1 yr","a. M div, M single",b. > 1,b. None,"a. used car, others",a. No,c. [25-35),a. owner-occ / free,b. Savings / Car / Other,12,1258,a < 25 yr
1,c. some balance,a. some problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,a. Other Banks or Dept Stores,"b. new car, home related",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,15,1569,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,c. [25-35),a. owner-occ / free,b. Savings / Car / Other,6,1236,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,c. above 4 years,"a. M div, M single",b. > 1,b. None,"a. used car, others",b. Yes,c. [25-35),b. rented flat,b. Savings / Car / Other,36,7678,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,c. [25-35),a. owner-occ / free,c. No assets,6,660,a < 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,b. [20-25),b. rented flat,b. Savings / Car / Other,24,2835,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,24,2670,b. >= 25 yr
1,c. some balance,a. some problem,b. >= 100 DM,b. [1-4) years,"a. M div, M single",a. 1,b. None,"a. used car, others",a. No,a. < 20,b. rented flat,c. No assets,12,3447,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",c. above 4 years,"a. M div, M single",a. 1,a. Other Banks or Dept Stores,"b. new car, home related",b. Yes,a. < 20,a. owner-occ / free,b. Savings / Car / Other,15,3568,b. >= 25 yr
1,b. no balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",a. No,c. [25-35),b. rented flat,b. Savings / Car / Other,21,3652,b. >= 25 yr
1,a. no account,b. paid up,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",a. 1,b. None,"b. new car, home related",a. No,c. [25-35),b. rented flat,b. Savings / Car / Other,24,3660,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",c. above 4 years,"a. M div, M single",a. 1,b. None,"b. new car, home related",a. No,c. [25-35),b. rented flat,c. No assets,9,1126,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM","a. Unemp, < 1 yr","a. M div, M single",a. 1,a. Other Banks or Dept Stores,"b. new car, home related",a. No,c. [25-35),b. rented flat,b. Savings / Car / Other,6,683,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",a. 1,b. None,"a. used car, others",a. No,d. >= 35,b. rented flat,b. Savings / Car / Other,12,2251,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,"a. Unemp, < 1 yr","a. M div, M single",a. 1,b. None,"b. new car, home related",a. No,d. >= 35,a. owner-occ / free,b. Savings / Car / Other,12,4675,a < 25 yr
1,b. no balance,c. no problem,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",b. > 1,b. None,"a. used car, others",a. No,d. >= 35,b. rented flat,b. Savings / Car / Other,21,2353,b. >= 25 yr
1,a. no account,b. paid up,b. >= 100 DM,"a. Unemp, < 1 yr","a. M div, M single",a. 1,a. Other Banks or Dept Stores,"b. new car, home related",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,21,3357,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","a. M div, M single",a. 1,b. None,"a. used car, others",b. Yes,d. >= 35,b. rented flat,c. No assets,6,672,b. >= 25 yr
1,a. no account,c. no problem,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,6,338,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,d. >= 35,b. rented flat,c. No assets,9,2697,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,c. [25-35),a. owner-occ / free,a. Own house / land,9,2507,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",b. > 1,a. Other Banks or Dept Stores,"b. new car, home related",a. No,a. < 20,b. rented flat,c. No assets,15,1478,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,"a. Unemp, < 1 yr","b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",a. No,c. [25-35),b. rented flat,b. Savings / Car / Other,12,3565,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,b. [1-4) years,"a. M div, M single",a. 1,b. None,"a. used car, others",a. No,c. [25-35),a. owner-occ / free,b. Savings / Car / Other,15,2221,a < 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,b. [1-4) years,"b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",a. No,d. >= 35,b. rented flat,c. No assets,6,1898,b. >= 25 yr
1,b. no balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"a. M div, M single",b. > 1,a. Other Banks or Dept Stores,"a. used car, others",a. No,d. >= 35,b. rented flat,b. Savings / Car / Other,6,1449,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,c. above 4 years,"a. M div, M single",b. > 1,b. None,"a. used car, others",a. No,b. [20-25),b. rented flat,b. Savings / Car / Other,15,960,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",a. 1,a. Other Banks or Dept Stores,"b. new car, home related",a. No,d. >= 35,b. rented flat,b. Savings / Car / Other,36,8133,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","a. M div, M single",a. 1,b. None,"a. used car, others",a. No,c. [25-35),a. owner-occ / free,b. Savings / Car / Other,9,2301,a < 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",a. No,d. >= 35,b. rented flat,c. No assets,6,1743,b. >= 25 yr
1,b. no balance,b. paid up,b. >= 100 DM,"a. Unemp, < 1 yr","a. M div, M single",a. 1,b. None,"a. used car, others",a. No,d. >= 35,a. owner-occ / free,c. No assets,12,983,a < 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM","a. Unemp, < 1 yr","b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",a. No,c. [25-35),b. rented flat,c. No assets,18,2320,b. >= 25 yr
1,a. no account,a. some problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,a. Other Banks or Dept Stores,"a. used car, others",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,12,339,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,a. Other Banks or Dept Stores,"b. new car, home related",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,24,5152,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","a. M div, M single",a. 1,b. None,"a. used car, others",a. No,c. [25-35),b. rented flat,b. Savings / Car / Other,24,3749,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,b. [1-4) years,"b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",a. No,d. >= 35,b. rented flat,c. No assets,9,3074,b. >= 25 yr
0,c. some balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",a. 1,b. None,"b. new car, home related",a. No,b. [20-25),b. rented flat,c. No assets,9,745,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,a. < 20,a. owner-occ / free,c. No assets,24,1469,b. >= 25 yr
1,a. no account,b. paid up,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",a. 1,a. Other Banks or Dept Stores,"a. used car, others",b. Yes,d. >= 35,b. rented flat,c. No assets,6,1374,b. >= 25 yr
1,c. some balance,a. some problem,b. >= 100 DM,b. [1-4) years,"b. M mar, M wid, F",a. 1,a. Other Banks or Dept Stores,"a. used car, others",a. No,d. >= 35,b. rented flat,c. No assets,6,783,b. >= 25 yr
1,a. no account,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","a. M div, M single",a. 1,b. None,"b. new car, home related",b. Yes,a. < 20,a. owner-occ / free,b. Savings / Car / Other,21,2606,b. >= 25 yr
1,c. some balance,a. some problem,b. >= 100 DM,b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,c. [25-35),b. rented flat,b. Savings / Car / Other,54,9436,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,c. No assets,12,930,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,48,2751,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,b. [1-4) years,"a. M div, M single",b. > 1,a. Other Banks or Dept Stores,"a. used car, others",a. No,c. [25-35),b. rented flat,c. No assets,6,250,b. >= 25 yr
1,b. no balance,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,24,1201,b. >= 25 yr
1,a. no account,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","b. M mar, M wid, F",a. 1,b. None,"a. used car, others",b. Yes,b. [20-25),b. rented flat,c. No assets,6,662,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,a. Other Banks or Dept Stores,"b. new car, home related",a. No,a. < 20,a. owner-occ / free,a. Own house / land,15,1300,b. >= 25 yr
1,c. some balance,a. some problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,a. Other Banks or Dept Stores,"a. used car, others",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,24,1559,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,b. [20-25),b. rented flat,b. Savings / Car / Other,12,3016,a < 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,15,1360,b. >= 25 yr
1,c. some balance,a. some problem,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",a. 1,a. Other Banks or Dept Stores,"a. used car, others",a. No,a. < 20,a. owner-occ / free,a. Own house / land,6,1204,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,b. [20-25),a. owner-occ / free,a. Own house / land,10,1597,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",a. 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,c. No assets,12,2073,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"a. M div, M single",a. 1,b. None,"a. used car, others",b. Yes,d. >= 35,b. rented flat,c. No assets,11,2142,b. >= 25 yr
1,a. no account,c. no problem,b. >= 100 DM,"a. Unemp, < 1 yr","a. M div, M single",b. > 1,b. None,"a. used car, others",a. No,c. [25-35),a. owner-occ / free,c. No assets,10,2132,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,b. [20-25),b. rented flat,c. No assets,10,1546,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,c. above 4 years,"a. M div, M single",b. > 1,b. None,"a. used car, others",b. Yes,a. < 20,b. rented flat,c. No assets,24,1287,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,b. [20-25),a. owner-occ / free,c. No assets,10,1418,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",a. No,d. >= 35,b. rented flat,c. No assets,6,1343,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,18,2662,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",b. Yes,b. [20-25),b. rented flat,b. Savings / Car / Other,18,6070,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,b. [1-4) years,"a. M div, M single",b. > 1,b. None,"b. new car, home related",b. Yes,b. [20-25),b. rented flat,b. Savings / Car / Other,24,1927,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",b. > 1,b. None,"b. new car, home related",a. No,c. [25-35),b. rented flat,b. Savings / Car / Other,18,2404,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"a. M div, M single",b. > 1,b. None,"b. new car, home related",b. Yes,d. >= 35,a. owner-occ / free,b. Savings / Car / Other,6,1554,a < 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"a. M div, M single",a. 1,b. None,"a. used car, others",a. No,a. < 20,a. owner-occ / free,b. Savings / Car / Other,22,1283,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,24,717,b. >= 25 yr
1,a. no account,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,24,1747,a < 25 yr
1,a. no account,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",a. No,b. [20-25),b. rented flat,c. No assets,9,1288,b. >= 25 yr
1,a. no account,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,10,1038,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,d. >= 35,b. rented flat,c. No assets,10,2848,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,b. [20-25),b. rented flat,b. Savings / Car / Other,12,1413,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",b. Yes,b. [20-25),b. rented flat,b. Savings / Car / Other,30,3077,b. >= 25 yr
1,a. no account,a. some problem,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",a. 1,a. Other Banks or Dept Stores,"b. new car, home related",a. No,d. >= 35,a. owner-occ / free,b. Savings / Car / Other,24,3632,a < 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,"a. Unemp, < 1 yr","b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",b. Yes,c. [25-35),b. rented flat,a. Own house / land,18,3229,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,d. >= 35,a. owner-occ / free,c. No assets,9,3577,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"a. M div, M single",b. > 1,b. None,"a. used car, others",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,12,682,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",b. Yes,d. >= 35,b. rented flat,b. Savings / Car / Other,10,1924,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",b. Yes,a. < 20,a. owner-occ / free,a. Own house / land,10,727,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",b. Yes,a. < 20,a. owner-occ / free,a. Own house / land,10,781,b. >= 25 yr
1,a. no account,c. no problem,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,12,2121,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,12,701,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,b. [1-4) years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",a. No,c. [25-35),b. rented flat,b. Savings / Car / Other,10,2069,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"a. M div, M single",a. 1,b. None,"a. used car, others",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,24,1525,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,c. above 4 years,"a. M div, M single",b. > 1,a. Other Banks or Dept Stores,"a. used car, others",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,48,7629,b. >= 25 yr
0,a. no account,c. no problem,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",b. > 1,b. None,"a. used car, others",a. No,b. [20-25),b. rented flat,c. No assets,12,3499,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,a. Other Banks or Dept Stores,"b. new car, home related",b. Yes,c. [25-35),a. owner-occ / free,a. Own house / land,6,1346,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",a. No,c. [25-35),a. owner-occ / free,a. Own house / land,36,10477,b. >= 25 yr
1,a. no account,b. paid up,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",a. 1,a. Other Banks or Dept Stores,"b. new car, home related",b. Yes,b. [20-25),b. rented flat,a. Own house / land,24,2924,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",a. No,b. [20-25),b. rented flat,c. No assets,10,1231,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",c. above 4 years,"a. M div, M single",a. 1,b. None,"a. used car, others",a. No,b. [20-25),b. rented flat,b. Savings / Car / Other,18,1961,a < 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,c. above 4 years,"a. M div, M single",a. 1,b. None,"a. used car, others",b. Yes,d. >= 35,b. rented flat,b. Savings / Car / Other,15,5045,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",a. No,a. < 20,b. rented flat,c. No assets,12,1255,b. >= 25 yr
1,a. no account,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","a. M div, M single",a. 1,b. None,"a. used car, others",a. No,a. < 20,a. owner-occ / free,b. Savings / Car / Other,12,1858,a < 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,b. [1-4) years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",a. No,d. >= 35,b. rented flat,b. Savings / Car / Other,6,1221,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",a. 1,b. None,"a. used car, others",a. No,a. < 20,a. owner-occ / free,c. No assets,9,1388,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",b. Yes,a. < 20,a. owner-occ / free,a. Own house / land,12,2279,b. >= 25 yr
1,c. some balance,a. some problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",a. No,c. [25-35),b. rented flat,b. Savings / Car / Other,12,2759,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,b. [1-4) years,"a. M div, M single",a. 1,b. None,"b. new car, home related",a. No,b. [20-25),b. rented flat,b. Savings / Car / Other,24,1258,b. >= 25 yr
1,b. no balance,a. some problem,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",b. Yes,c. [25-35),b. rented flat,c. No assets,12,1410,b. >= 25 yr
1,a. no account,b. paid up,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",a. 1,b. None,"a. used car, others",a. No,c. [25-35),a. owner-occ / free,b. Savings / Car / Other,15,1403,b. >= 25 yr
1,a. no account,b. paid up,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",a. 1,b. None,"a. used car, others",a. No,c. [25-35),a. owner-occ / free,c. No assets,24,3021,a < 25 yr
1,a. no account,b. paid up,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",a. 1,a. Other Banks or Dept Stores,"a. used car, others",a. No,c. [25-35),b. rented flat,b. Savings / Car / Other,24,6568,a < 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,c. [25-35),b. rented flat,b. Savings / Car / Other,24,2578,b. >= 25 yr
1,b. no balance,c. no problem,b. >= 100 DM,c. above 4 years,"a. M div, M single",a. 1,b. None,"b. new car, home related",a. No,c. [25-35),a. owner-occ / free,a. Own house / land,24,7758,b. >= 25 yr
1,a. no account,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","a. M div, M single",a. 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,c. No assets,6,343,b. >= 25 yr
